time	V(N001,N002)	I(D1)
0.000000000000000e+000	-4.999999e+000	-2.525001e-009
4.464285703014478e-009	-4.999999e+000	-2.283910e-009
8.928571406028956e-009	-4.999998e+000	-2.104581e-009
1.339285710904344e-008	-4.999997e+000	-1.987014e-009
1.785714281205791e-008	-4.999996e+000	-1.931208e-009
2.232142851507239e-008	-4.999995e+000	-1.937164e-009
2.678571421808687e-008	-4.999994e+000	-2.004882e-009
3.124999992110134e-008	-4.999993e+000	-2.134361e-009
5.982142842039400e-007	-4.999880e+000	-2.134327e-009
1.165178568486779e-006	-4.999767e+000	-2.134301e-009
1.732142852769617e-006	-4.999653e+000	-2.134283e-009
2.299107137052456e-006	-4.999540e+000	-2.134273e-009
2.866071421335295e-006	-4.999426e+000	-2.134271e-009
3.433035705618134e-006	-4.999313e+000	-2.134277e-009
3.999999989900971e-006	-4.999199e+000	-2.134290e-009
3.486343749968292e-003	-4.302731e+000	-2.156870e-009
6.968687499946683e-003	-3.606262e+000	-2.146058e-009
1.045103124992507e-002	-2.909793e+000	-2.101853e-009
1.393337499990346e-002	-2.213325e+000	-2.024258e-009
1.741571874988186e-002	-1.516856e+000	-1.913270e-009
2.089806249986025e-002	-8.203872e-001	-1.768890e-009
2.438040624983863e-002	-1.239184e-001	-1.591118e-009
2.443620982126720e-002	-1.127577e-001	-1.555618e-009
2.449201339269578e-002	-1.015970e-001	-1.494571e-009
2.454781696412435e-002	-9.043632e-002	-1.407978e-009
2.460362053555292e-002	-7.927563e-002	-1.295839e-009
2.465942410698149e-002	-6.811495e-002	-1.158154e-009
2.471522767841006e-002	-5.695426e-002	-9.949225e-010
2.477103124983864e-002	-4.579359e-002	-8.061453e-010
2.481985937483864e-002	-3.602801e-002	-5.799879e-010
2.486868749983864e-002	-2.626244e-002	-3.001173e-010
2.491751562483864e-002	-1.649688e-002	4.637535e-011
2.496634374983864e-002	-6.731345e-003	4.755023e-010
2.501517187483864e-002	3.034173e-003	1.007126e-009
2.506399999983864e-002	1.279967e-002	1.665886e-009
2.511282812483864e-002	2.256513e-002	2.482345e-009
2.516165624983864e-002	3.233055e-002	3.494415e-009
2.521048437483864e-002	4.209593e-002	4.749123e-009
2.525931249983864e-002	5.186124e-002	6.304804e-009
2.530814062483864e-002	6.162648e-002	8.233817e-009
2.535696874983864e-002	7.139163e-002	1.062592e-008
2.540579687483864e-002	8.115666e-002	1.359243e-008
2.545462499983865e-002	9.092155e-002	1.727145e-008
2.550345312483865e-002	1.006863e-001	2.183426e-008
2.555228124983865e-002	1.104508e-001	2.749328e-008
2.560110937483865e-002	1.202150e-001	3.451199e-008
2.564993749983865e-002	1.299788e-001	4.321715e-008
2.569876562483865e-002	1.397423e-001	5.401397e-008
2.574759374983865e-002	1.495053e-001	6.740496e-008
2.579642187483865e-002	1.592676e-001	8.401317e-008
2.584524999983865e-002	1.690291e-001	1.046111e-007
2.589407812483865e-002	1.787896e-001	1.301562e-007
2.594290624983865e-002	1.885489e-001	1.618355e-007
2.599173437483865e-002	1.983066e-001	2.011197e-007
2.604056249983865e-002	2.080625e-001	2.498309e-007
2.608939062483865e-002	2.178161e-001	3.102256e-007
